id, link, leftTime
24_0_0, -302361_0, 68599.0
24_0_0, -282108_0, 68608.0
24_0_0, -286225_0_r, 68609.0
24_0_0, -297980_0_r, 68617.0
24_0_0, -291407_0_r, 68622.0
24_0_0, -297120_0_r, 68627.0
24_0_0, -297570_0_r, 68630.0
24_0_0, -296499_0_r, 68637.0
24_0_0, -295462_0_r, 68643.0
24_0_0, -285878_0_r, 68649.0
24_0_0, -295949_0_r, 68665.0
24_0_0, -299042_0_r, 68667.0
24_0_0, -292912_0_r, 68675.0
24_0_0, -282262_0_r, 68679.0
24_0_0, -285105_0_r, 68683.0
24_0_0, -301460_0_r, 68691.0
24_0_0, -299547_0_r, 68703.0
24_0_0, -288055_0_r, 68710.0
24_0_0, -300560_0_r, 68720.0
24_0_0, -290312_0_r, 68722.0
24_0_0, -294095_0_r, 68731.0
24_0_0, -301957_0, 68742.0
24_0_0, -301957_1, 68747.0
24_0_0, -283523_0, 68760.0
24_0_0, -296582_0, 68765.0
24_0_0, -296582_1, 68812.0
24_0_0, -296882_0, 68824.0
24_0_0, -296882_1, 68830.0
24_0_0, -293674_2, 68833.0
24_0_0, -293674_3, 68843.0
24_0_0, -290927_0, 68848.0
24_0_0, -286234_0, 68883.0
24_0_0, -283527_0, 68892.0
24_0_0, -289683_0, 68901.0
24_0_0, -289683_1, 68906.0
24_0_0, -289683_2, 68907.0
24_0_0, -289683_3, 68908.0
24_0_0, -289683_4, 68909.0
24_0_0, -289683_5, 68910.0
24_0_0, -289683_6, 68916.0
24_0_0, -289683_7, 68939.0
24_0_0, -289683_8, 68945.0
24_0_0, -286239_0, 68951.0
24_0_0, -286239_1, 68954.0
24_0_0, -286239_2, 68956.0
24_0_0, -283520_0, 68960.0
24_0_0, -283520_1, 68963.0
24_0_0, -302138_1_r, 68964.0
24_0_0, -302138_0_r, 68966.0
24_0_0, -284520_0, 68971.0
8_1_0, -289981_0, 39615.0
8_1_0, -304477_0_r, 39624.0
8_1_0, -292674_0_r, 39633.0
8_1_0, -295103_0, 39647.0
8_1_0, -304513_0_r, 39659.0
8_1_0, -288232_0_r, 39672.0
8_1_0, -304392_0_r, 39685.0
8_1_0, -299458_0, 39702.0
8_1_0, -302623_0, 39726.0
8_1_0, -298799_0, 39748.0
8_1_0, -293980_0, 39756.0
8_1_0, -284716_0, 39765.0
8_1_0, -294555_0, 39770.0
8_1_0, -292298_0, 39780.0
8_1_0, -291009_0, 39785.0
8_1_0, -286679_0, 39790.0
8_1_0, -301030_0, 39795.0
8_1_0, -283921_0, 39799.0
8_1_0, -289886_0, 39803.0
8_1_0, -293778_0, 39807.0
8_1_0, -283922_0, 39811.0
8_1_0, -304265_0, 39816.0
8_1_0, -301526_0, 39820.0
8_1_0, -282418_0, 39822.0
8_1_0, -294062_0, 39826.0
8_1_0, -298667_0, 39829.0
8_1_0, -304732_0, 39837.0
8_1_0, -283551_0, 39859.0
8_1_0, -304564_0, 39864.0
8_1_0, -304564_1, 39869.0
8_1_0, -304564_2, 39874.0
8_1_0, -304564_3, 39876.0
8_1_0, -304564_4, 39878.0
8_1_0, -294452_1_r, 39897.0
8_1_0, -294452_0_r, 39920.0
8_1_0, -292209_0, 39936.0
8_1_0, -300077_2, 39943.0
8_1_0, -300493_0, 39949.0
8_1_0, -284984_0_r, 39955.0
8_1_0, -292555_0_r, 39960.0
8_1_0, -287884_0_r, 39965.0
8_1_0, -295233_0_r, 39970.0
8_1_0, -293401_0_r, 39976.0
8_1_0, -297888_0_r, 39980.0
8_1_0, -296593_0_r, 39987.0
8_1_0, -289745_0_r, 39999.0
8_1_0, -287333_0_r, 82815.0
8_1_0, -287760_0, 82824.0
8_1_0, -298885_0_r, 82830.0
8_1_0, -296222_0_r, 82836.0
8_1_0, -303134_0_r, 82842.0
8_1_0, -281972_0, 82843.0
8_1_0, -287642_0, 82847.0
8_1_0, -284798_0, 82851.0
8_1_0, -290166_0, 82857.0
8_1_0, -294910_0, 82859.0
8_1_0, -297510_0, 82863.0
8_1_0, -284799_0, 82868.0
8_1_0, -294003_0, 82873.0
8_1_0, -281973_0, 82875.0
8_1_0, -284712_0_r, 82880.0
8_1_0, -287544_0_r, 82882.0
8_1_0, -281923_0_r, 82888.0
8_1_0, -300423_0_r, 82894.0
8_1_0, -301281_0_r, 82899.0
8_1_0, -281922_0_r, 82905.0
8_1_0, -304819_3_r, 82906.0
8_1_0, -304819_2_r, 82907.0
8_1_0, -304819_1_r, 82908.0
8_1_0, -304819_0_r, 82912.0
8_1_0, -287543_0_r, 82918.0
8_1_0, -302101_0_r, 82924.0
8_1_0, -284711_0_r, 82929.0
8_1_0, -296228_0_r, 82934.0
8_1_0, -297045_0_r, 82939.0
8_1_0, -292548_0, 82944.0
8_1_0, -284968_0, 82949.0
8_1_0, -287861_0, 82954.0
8_1_0, -303549_0, 82959.0
8_1_0, -292650_0, 82963.0
8_1_0, -291848_0, 82966.0
8_1_0, -285228_0, 82971.0
8_1_0, -299608_0, 82972.0
8_1_0, -282400_0, 82978.0
8_1_0, -301520_0, 82983.0
8_1_0, -300600_0, 82989.0
8_1_0, -302188_0, 82992.0
8_1_0, -303403_0, 82996.0
8_1_0, -298177_0, 83002.0
8_1_0, -302467_0, 83004.0
8_1_0, -288230_0, 83009.0
8_1_0, -292651_0, 83015.0
8_1_0, -304146_0, 83021.0
8_1_0, -285229_0, 83027.0
8_1_0, -303791_0, 83035.0
8_1_0, -302659_0, 83038.0
8_1_0, -294610_0, 83044.0
8_1_0, -303180_0, 83057.0
8_1_0, -298549_0, 83068.0
8_1_0, -282401_0, 83081.0
8_1_0, -288231_0, 83089.0
8_1_0, -295842_0, 83091.0
8_1_0, -299609_0, 83099.0
8_1_0, -294135_0, 83101.0
8_1_0, -290379_0, 83108.0
8_1_0, -285230_0, 83112.0
8_1_0, -296344_0, 83135.0
8_1_0, -304392_0, 83148.0
8_1_0, -288232_0, 83161.0
8_1_0, -304513_0, 83173.0
8_1_0, -295103_0_r, 83187.0
8_1_0, -292674_0, 83196.0
8_1_0, -304477_0, 83205.0
8_1_0, -289981_0_r, 83206.0
24_1_0, -287191_0, 39647.0
24_1_0, -299868_0_r, 39655.0
24_1_0, -291390_0_r, 39670.0
24_1_0, -299037_0_r, 39681.0
24_1_0, -302361_0, 39692.0
24_1_0, -282108_0, 39701.0
24_1_0, -286225_0_r, 39702.0
24_1_0, -297980_0_r, 39710.0
24_1_0, -291407_0_r, 39715.0
24_1_0, -297120_0_r, 39720.0
24_1_0, -297570_0_r, 39723.0
24_1_0, -296499_0_r, 39730.0
24_1_0, -295462_0_r, 39736.0
24_1_0, -285878_0_r, 39742.0
