Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	06:45:09	06:45:09	06:45:09			06:45:09	06:45:09	06:45:09	06:45:09	06:45:09	06:45:13	06:45:13	06:45:13	06:45:13	06:45:13	06:45:13			06:45:15	06:45:15		00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:02	00:00:06
1	06:45:15	06:45:15	06:45:15	06:45:15	06:45:48	06:45:48	06:45:48	06:45:48	06:45:48	06:45:48	06:45:52	06:45:52	06:45:52	06:45:52	06:45:52	06:45:52			06:45:53	06:45:53		00:00:00	00:00:32	00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:01	00:00:38
2	06:45:54	06:45:54	06:45:54	06:45:54	06:46:26	06:46:26			06:46:26	06:46:26	06:46:29	06:46:29	06:46:29	06:46:29	06:46:29	06:46:29			06:46:30	06:46:30		00:00:00	00:00:32		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:36
3	06:46:30	06:46:30	06:46:30	06:46:30	06:47:04	06:47:04			06:47:04	06:47:04	06:47:07	06:47:07	06:47:07	06:47:07	06:47:07	06:47:07			06:47:08	06:47:08		00:00:00	00:00:34		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:38
4	06:47:08	06:47:08	06:47:08	06:47:08	06:47:41	06:47:41			06:47:41	06:47:41	06:47:45	06:47:45	06:47:45	06:47:45	06:47:45	06:47:45			06:47:46	06:47:46		00:00:00	00:00:33		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:37
5	06:47:46	06:47:46	06:47:46	06:47:46	06:48:19	06:48:19			06:48:19	06:48:19	06:48:24	06:48:24	06:48:24	06:48:24	06:48:24	06:48:24			06:48:24	06:48:24		00:00:00	00:00:33		00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:38
6	06:48:25	06:48:25	06:48:25	06:48:25	06:48:56	06:48:56			06:48:56	06:48:56	06:49:01	06:49:01	06:49:01	06:49:01	06:49:01	06:49:01			06:49:01	06:49:01		00:00:00	00:00:31		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:36
7	06:49:01	06:49:01	06:49:01	06:49:01	06:49:34	06:49:34			06:49:34	06:49:34	06:49:38	06:49:38	06:49:38	06:49:38	06:49:38	06:49:38			06:49:39	06:49:39		00:00:00	00:00:32		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:37
8	06:49:39	06:49:39	06:49:39	06:49:39	06:50:11	06:50:11			06:50:11	06:50:11	06:50:15	06:50:15	06:50:15	06:50:15	06:50:15	06:50:15			06:50:16	06:50:16		00:00:00	00:00:32		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:36
9	06:50:16	06:50:16	06:50:16	06:50:16	06:50:49	06:50:49			06:50:49	06:50:49	06:50:53	06:50:53	06:50:53	06:50:53	06:50:53	06:50:53			06:50:54	06:50:54		00:00:00	00:00:33		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:38
10	06:50:54	06:50:54	06:50:54	06:50:54	06:51:26	06:51:26	06:51:26	06:51:27	06:51:27	06:51:27	06:51:35	06:51:35	06:51:35	06:51:35	06:51:35	06:51:35	06:51:35	06:51:35	06:51:37	06:51:37		00:00:00	00:00:31	00:00:01	00:00:01	00:00:07	00:00:00	00:00:00	00:00:00	00:00:02	00:00:42
11	06:51:37	06:51:37	06:51:37	06:51:37	06:52:09	06:52:09			06:52:09	06:52:09	06:52:13	06:52:13	06:52:13	06:52:13	06:52:13	06:52:13			06:52:14	06:52:14		00:00:00	00:00:31		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:36
12	06:52:14	06:52:14	06:52:14	06:52:14	06:52:45	06:52:45			06:52:45	06:52:45	06:52:50	06:52:50	06:52:50	06:52:50	06:52:50	06:52:50			06:52:50	06:52:50		00:00:00	00:00:31		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:36
13	06:52:50	06:52:50	06:52:50	06:52:50	06:53:24	06:53:24			06:53:24	06:53:24	06:53:28	06:53:28	06:53:28	06:53:28	06:53:28	06:53:28			06:53:29	06:53:29		00:00:00	00:00:33		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:38
14	06:53:29	06:53:29	06:53:29	06:53:29	06:54:02	06:54:02			06:54:02	06:54:02	06:54:06	06:54:06	06:54:06	06:54:06	06:54:06	06:54:06			06:54:07	06:54:07		00:00:00	00:00:33		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:38
15	06:54:07	06:54:07	06:54:07	06:54:07	06:54:40	06:54:40			06:54:40	06:54:40	06:54:48	06:54:48	06:54:48	06:54:48	06:54:48	06:54:48			06:54:49	06:54:49		00:00:00	00:00:33		00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:41
16	06:54:49	06:54:49	06:54:49	06:54:49	06:55:22	06:55:22			06:55:22	06:55:22	06:55:26	06:55:26	06:55:26	06:55:26	06:55:26	06:55:26			06:55:27	06:55:27		00:00:00	00:00:32		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:37
17	06:55:27	06:55:27	06:55:27	06:55:27	06:56:00	06:56:00			06:56:00	06:56:00	06:56:04	06:56:04	06:56:04	06:56:04	06:56:04	06:56:04			06:56:05	06:56:05		00:00:00	00:00:32		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:37
18	06:56:05	06:56:05	06:56:05	06:56:05	06:56:36	06:56:36			06:56:36	06:56:36	06:56:41	06:56:41	06:56:41	06:56:41	06:56:41	06:56:41			06:56:42	06:56:42		00:00:00	00:00:31		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:36
19	06:56:42	06:56:42	06:56:42	06:56:42	06:57:13	06:57:13			06:57:13	06:57:13	06:57:17	06:57:17	06:57:17	06:57:17	06:57:17	06:57:17			06:57:18	06:57:18		00:00:00	00:00:30		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:35
20	06:57:18	06:57:18	06:57:18	06:57:18	06:57:51	06:57:51	06:57:51	06:57:52	06:57:52	06:57:52	06:58:02	06:58:02	06:58:02	06:58:02	06:58:02	06:58:02	06:58:02	06:58:02	06:58:05	06:58:05		00:00:00	00:00:32	00:00:01	00:00:01	00:00:10	00:00:00	00:00:00	00:00:00	00:00:02	00:00:46
21	06:58:05	06:58:05	06:58:05	06:58:05	06:58:36	06:58:36			06:58:36	06:58:36	06:58:40	06:58:40	06:58:40	06:58:40	06:58:40	06:58:40			06:58:41	06:58:41		00:00:00	00:00:31		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:36
22	06:58:41	06:58:41	06:58:41	06:58:41	06:59:12	06:59:12			06:59:12	06:59:12	06:59:16	06:59:16	06:59:16	06:59:16	06:59:16	06:59:16			06:59:17	06:59:17		00:00:00	00:00:30		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:35
23	06:59:17	06:59:17	06:59:17	06:59:17	06:59:48	06:59:48			06:59:48	06:59:48	06:59:53	06:59:53	06:59:53	06:59:53	06:59:53	06:59:53			06:59:53	06:59:53		00:00:00	00:00:31		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:36
24	06:59:53	06:59:53	06:59:53	06:59:53	07:00:23	07:00:23			07:00:23	07:00:23	07:00:28	07:00:28	07:00:28	07:00:28	07:00:28	07:00:28			07:00:28	07:00:28		00:00:00	00:00:30		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:34
25	07:00:28	07:00:28	07:00:28	07:00:28	07:00:59	07:00:59			07:00:59	07:00:59	07:01:08	07:01:08	07:01:08	07:01:08	07:01:08	07:01:08			07:01:09	07:01:09		00:00:00	00:00:30		00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:40
26	07:01:09	07:01:09	07:01:09	07:01:09	07:01:43	07:01:43			07:01:43	07:01:43	07:01:47	07:01:47	07:01:47	07:01:47	07:01:47	07:01:47			07:01:48	07:01:48		00:00:00	00:00:33		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:38
27	07:01:48	07:01:48	07:01:48	07:01:48	07:02:20	07:02:20			07:02:20	07:02:20	07:02:25	07:02:25	07:02:25	07:02:25	07:02:25	07:02:25			07:02:26	07:02:26		00:00:00	00:00:32		00:00:00	00:00:05	00:00:00	00:00:00		00:00:00	00:00:38
28	07:02:26	07:02:26	07:02:26	07:02:26	07:02:56	07:02:56			07:02:56	07:02:56	07:03:00	07:03:00	07:03:00	07:03:00	07:03:00	07:03:00			07:03:01	07:03:01		00:00:00	00:00:29		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:34
29	07:03:01	07:03:01	07:03:01	07:03:01	07:03:32	07:03:32			07:03:32	07:03:32	07:03:36	07:03:36	07:03:36	07:03:36	07:03:36	07:03:36			07:03:37	07:03:37		00:00:00	00:00:30		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:35
30	07:03:37	07:03:37	07:03:37	07:03:37	07:04:09	07:04:09	07:04:09	07:04:11	07:04:11	07:04:11	07:04:20	07:04:20	07:04:20	07:04:20	07:04:20	07:04:20	07:04:20	07:04:20	07:04:23	07:04:23		00:00:00	00:00:31	00:00:01	00:00:01	00:00:09	00:00:00	00:00:00	00:00:00	00:00:02	00:00:45
31	07:04:23	07:04:23	07:04:23	07:04:23	07:04:54	07:04:54			07:04:54	07:04:54	07:04:59	07:04:59	07:04:59	07:04:59	07:04:59	07:04:59			07:04:59	07:04:59		00:00:00	00:00:31		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:36
32	07:04:59	07:04:59	07:04:59	07:04:59	07:05:31	07:05:31			07:05:31	07:05:31	07:05:35	07:05:35	07:05:35	07:05:35	07:05:35	07:05:35			07:05:36	07:05:36		00:00:00	00:00:31		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:36
33	07:05:36	07:05:36	07:05:36	07:05:36	07:06:06	07:06:06			07:06:06	07:06:06	07:06:11	07:06:11	07:06:11	07:06:11	07:06:11	07:06:11			07:06:11	07:06:11		00:00:00	00:00:30		00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:35
