Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	07:26:10	07:26:10	07:26:10			07:26:10	07:26:10	07:26:10	07:26:10	07:26:10	07:26:10	07:26:10	07:26:10	07:26:10	07:26:10	07:26:10			07:26:11	07:26:11		00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
1	07:26:11	07:26:11	07:26:11	07:26:11	07:26:14	07:26:14	07:26:14	07:26:14	07:26:14	07:26:14	07:26:16	07:26:16	07:26:16	07:26:16	07:26:16	07:26:16			07:26:16	07:26:16		00:00:00	00:00:02	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:04
2	07:26:17	07:26:17	07:26:17	07:26:17	07:26:17	07:26:17			07:26:17	07:26:17	07:26:18	07:26:18	07:26:18	07:26:18	07:26:18	07:26:18			07:26:19	07:26:19		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
3	07:26:19	07:26:19	07:26:19	07:26:19	07:26:19	07:26:19			07:26:19	07:26:19	07:26:21	07:26:21	07:26:21	07:26:21	07:26:21	07:26:21			07:26:21	07:26:21		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
4	07:26:21	07:26:21	07:26:21	07:26:21	07:26:22	07:26:22			07:26:22	07:26:22	07:26:24	07:26:24	07:26:24	07:26:24	07:26:24	07:26:24			07:26:24	07:26:24		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
5	07:26:24	07:26:24	07:26:24	07:26:24	07:26:25	07:26:25			07:26:25	07:26:25	07:26:27	07:26:27	07:26:27	07:26:27	07:26:27	07:26:27			07:26:28	07:26:28		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
6	07:26:28	07:26:28	07:26:28	07:26:28	07:26:28	07:26:28			07:26:28	07:26:28	07:26:30	07:26:30	07:26:30	07:26:30	07:26:30	07:26:30			07:26:31	07:26:31		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
7	07:26:31	07:26:31	07:26:31	07:26:31	07:26:31	07:26:31			07:26:31	07:26:31	07:26:33	07:26:33	07:26:33	07:26:33	07:26:33	07:26:33			07:26:34	07:26:34		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
8	07:26:34	07:26:34	07:26:34	07:26:34	07:26:35	07:26:35			07:26:35	07:26:35	07:26:36	07:26:36	07:26:36	07:26:36	07:26:36	07:26:36			07:26:37	07:26:37		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
9	07:26:37	07:26:37	07:26:37	07:26:37	07:26:38	07:26:38			07:26:38	07:26:38	07:26:39	07:26:39	07:26:39	07:26:39	07:26:39	07:26:39			07:26:40	07:26:40		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:03
