14_1_2_2:	68782.0	68833.0	51.0
29_1_0_1:	25258.0	25385.0	127.0
24_1_5_2:	68539.0	68943.0	404.0
24_1_5_1:	25339.0	25754.0	415.0
29_1_0_2:	68458.0	68574.0	116.0
8_2_0_2:	82815.0	83207.0	392.0
8_2_0_1:	39615.0	40010.0	395.0
5_1_0_2:	68409.0	68775.0	366.0
5_1_0_1:	25209.0	25526.0	317.0
12_1_1_2:	68684.0	68828.0	144.0
20_1_3_1:	25373.0	25749.0	376.0
20_1_3_2:	68573.0	68937.0	364.0
13_2_0_1:	39627.0	39839.0	212.0
20_2_1_2:	83191.0	83336.0	145.0
13_2_0_2:	82827.0	83084.0	257.0
23_2_3_2:	83108.0	83109.0	1.0
23_2_3_1:	39908.0	39909.0	1.0
20_2_1_1:	39991.0	39999.0	8.0
12_1_1_1:	25484.0	25492.0	8.0
28_2_3_2:	83242.0	83317.0	75.0
25_1_1_2:	68949.0	69074.0	125.0
25_1_1_1:	25749.0	25834.0	85.0
26_2_0_1:	39652.0	39883.0	231.0
26_2_0_2:	82852.0	83090.0	238.0
3_1_0_1:	25206.0	25596.0	390.0
3_1_0_2:	68406.0	68793.0	387.0
24_2_5_2:	83280.0	83281.0	1.0
24_2_5_1:	40080.0	40081.0	1.0
19_2_0_2:	82835.0	83192.0	357.0
19_2_0_1:	39635.0	39963.0	328.0
14_2_1_1:	40240.0	40241.0	1.0
14_2_1_2:	83440.0	83441.0	1.0
24_1_0_2:	68457.0	68458.0	1.0
14_1_3_1:	25601.0	25604.0	3.0
14_1_3_2:	68801.0	68814.0	13.0
19_2_1_2:	83164.0	83462.0	298.0
24_1_0_1:	25257.0	25258.0	1.0
9_1_1_2:	68975.0	69456.0	481.0
9_1_1_1:	25775.0	26177.0	402.0
28_1_5_1:	25640.0	25641.0	1.0
28_1_5_2:	68840.0	68841.0	1.0
20_1_2_1:	25351.0	25361.0	10.0
20_1_2_2:	68551.0	68595.0	44.0
20_2_0_1:	39638.0	39960.0	322.0
23_2_4_1:	39925.0	39928.0	3.0
20_2_0_2:	82838.0	83223.0	385.0
12_1_0_2:	68426.0	68710.0	284.0
12_1_0_1:	25226.0	25451.0	225.0
23_2_4_2:	83125.0	83138.0	13.0
5_2_1_2:	82819.0	83159.0	340.0
5_2_1_1:	39619.0	39970.0	351.0
28_2_3_1:	40042.0	40091.0	49.0
21_2_0_1:	39639.0	39860.0	221.0
28_2_4_1:	40103.0	40331.0	228.0
28_2_4_2:	83303.0	83541.0	238.0
18_2_0_2:	82834.0	82938.0	104.0
18_2_0_1:	39634.0	39719.0	85.0
21_2_0_2:	82839.0	83064.0	225.0
4_2_0_1:	39608.0	40226.0	618.0
25_1_0_2:	68448.0	68977.0	529.0
25_1_0_1:	25248.0	25745.0	497.0
4_2_0_2:	82808.0	83455.0	647.0
24_2_6_2:	83294.0	83332.0	38.0
24_2_6_1:	40094.0	40122.0	28.0
8_1_0_2:	68415.0	68464.0	49.0
8_1_0_1:	25215.0	25242.0	27.0
19_2_1_1:	39964.0	40181.0	217.0
14_2_2_2:	83446.0	83747.0	301.0
14_2_2_1:	40246.0	40521.0	275.0
14_1_4_1:	25588.0	26135.0	547.0
14_1_4_2:	68788.0	69360.0	572.0
12_2_5_1:	40299.0	40573.0	274.0
12_2_5_2:	83499.0	83766.0	267.0
9_1_0_1:	25219.0	25774.0	555.0
28_1_6_2:	68847.0	69148.0	301.0
9_1_0_2:	68419.0	69026.0	607.0
20_2_7_2:	83316.0	83340.0	24.0
28_1_6_1:	25647.0	25936.0	289.0
20_1_1_1:	25251.0	25268.0	17.0
2_1_0_1:	25205.0	25656.0	451.0
20_2_7_1:	40116.0	40124.0	8.0
20_1_1_2:	68451.0	68485.0	34.0
5_2_0_1:	39619.0	39636.0	17.0
2_1_0_2:	68405.0	68859.0	454.0
23_2_5_2:	83114.0	83159.0	45.0
23_2_5_1:	39914.0	39916.0	2.0
5_2_0_2:	82819.0	82846.0	27.0
4_2_1_2:	83427.0	83589.0	162.0
25_1_3_2:	69059.0	69184.0	125.0
25_1_3_1:	25859.0	25966.0	107.0
23_1_0_2:	68442.0	68443.0	1.0
8_1_5_2:	68556.0	68578.0	22.0
23_1_0_1:	25242.0	25243.0	1.0
8_1_5_1:	25356.0	25368.0	12.0
4_2_1_1:	40227.0	40309.0	82.0
28_1_3_1:	25538.0	25598.0	60.0
28_1_3_2:	68738.0	68844.0	106.0
16_1_0_1:	25232.0	25354.0	122.0
16_1_0_2:	68432.0	68562.0	130.0
24_1_2_1:	25264.0	25269.0	5.0
