tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
114+08079,ALASKAN WAY,NORTHBOUND,WALL ST,WA,KING,98121,47.612799,-122.351166,47.604502,-122.339067,0.662468,4.0,America/Los_Angeles,P1,USA,459,3,N,2,80389,2,,4,,1,1,,15855,527,461,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-08208,MADISON ST,WESTBOUND,2ND AVE,WA,KING,98104,47.606097,-122.332937,47.605141,-122.335142,0.122124,7.0,America/Los_Angeles,P1,USA,490,2,N,3,80389,1,,2,,1,1,,6658,266,133,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08639,DENNY WAY,NORTHBOUND,MERCER ST/BROAD ST,WA,KING,98109,47.618536,-122.339379,47.6246184,-122.3397446,0.439974,2.0,America/Los_Angeles,P1,USA,592,3,N,3,80389,2,,4,,1,1,,32786,1098,1096,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+11093,PIKE ST,EASTBOUND,4TH AVE,WA,KING,98101,47.609287,-122.3389166,47.6102336,-122.3366578,0.124051,3.0,America/Los_Angeles,P1,USA,1390,3,N,3,80389,1,,3,,1,1,,5517,263,132,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+11094,PIKE ST,EASTBOUND,I-5/9TH AVE/CONVENTION PL,WA,KING,98101,47.6102336,-122.3366578,47.6125082,-122.3312516,0.296816,4.0,America/Los_Angeles,P1,USA,1390,3,N,3,80389,1,,3,,1,1,,6162,327,164,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+11095,PIKE ST,EASTBOUND,E MADISON ST,WA,KING,98122,47.6129736,-122.3301586,47.614129,-122.313678,0.789446,5.0,America/Los_Angeles,P1,USA,1390,3,N,3,80389,2,,3,,1,1,,11847,381,191,1,9,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+10561,JAMES ST,EASTBOUND,4TH AVE,WA,KING,98104,47.602306,-122.332527,47.603229,-122.33028,0.122559,2.0,America/Los_Angeles,P1,USA,1217,4,N,3,80389,2,,2,,1,1,,5366,215,107,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+10562,JAMES ST,EASTBOUND,I-5/7TH AVE/6TH AVE,WA,KING,98104,47.603229,-122.33028,47.604025,-122.328392,0.103744,3.0,America/Los_Angeles,P1,USA,1217,3,N,3,80389,2,,4,,1,1,,24876,911,455,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114N04197,I-5,SOUTHBOUND,OLIVE WAY/EXIT 166,WA,KING,98101,47.6187754,-122.3287042,47.615083,-122.329661,0.259497,139.0,America/Los_Angeles,P1,USA,68,1,N,1,80389,2,,12,5,2,1,5,219200,4756,5023,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+11377,STEWART ST,EASTBOUND,4TH AVE,WA,KING,98101,47.6116348,-122.3396074,47.611864,-122.339338,0.020201,1.0,America/Los_Angeles,P1,USA,1481,3,N,3,80389,1,,3,,1,1,,10334,398,159,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+10563,JAMES ST,EASTBOUND,E CHERRY ST,WA,KING,98104,47.604613,-122.327007,47.607982,-122.31883,0.446579,5.0,America/Los_Angeles,P1,USA,1217,4,N,3,80389,2,,4,,1,1,,28189,1085,542,1,60,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114N04196,I-5,SOUTHBOUND,UNION ST/EXIT 165,WA,KING,98101,47.612063,-122.330909,47.610651,-122.331353,0.099879,141.0,America/Los_Angeles,P1,USA,68,1,N,1,80389,2,1,11,5,2,1,5,213381,4615,4865,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+10168,WESTERN AVE W,EASTBOUND,7TH AVE/AURORA AVE/WALL ST,WA,KING,98109,47.618643,-122.357357,47.618547,-122.344297,0.608502,1.0,America/Los_Angeles,P1,USA,1080,3,N,3,80389,2,,4,,1,1,,30563,1153,1153,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+10169,E DENNY WAY,EASTBOUND,E OLIVE WAY,WA,KING,98109,47.618545,-122.343049,47.618494,-122.325652,0.810504,3.0,America/Los_Angeles,P1,USA,1080,3,N,3,80389,2,,4,,1,1,,27785,1021,1021,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114N04198,I-5,SOUTHBOUND,FAIRVIEW AVE/MERCER ST/EXIT 167,WA,KING,98102,47.6301596,-122.3268068,47.6203726,-122.3286486,0.697557,137.0,America/Los_Angeles,P1,USA,68,1,N,1,80389,2,1,12,5,2,1,5,227006,5003,5149,1,100,1,100,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+15717,EASTLAKE AVE E,NORTHBOUND,JOHN ST/STEWART ST,WA,KING,98109,47.618465,-122.329123,47.6196908,-122.3291442,0.08473,1.001,America/Los_Angeles,P1,USA,1097,3,N,3,80389,1,,3,,1,1,,5110,224,108,1,100,0,0,0,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114-04633,WA-99,SOUTHBOUND,DENNY WAY,WA,KING,98109,47.620895,-122.343774,47.6185488,-122.343695,0.162172,48.0,America/Los_Angeles,P1,USA,110,3,N,2,80389,2,,4,99,4,1,99,44651,1085,509,1,100,0,0,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
114+08088,BATTERY ST,NORTHBOUND,BATTERY ST/6TH AVE,WA,KING,98121,47.616123,-122.345233,47.6174208,-122.3436418,0.116414,3.0,America/Los_Angeles,P1,USA,461,4,N,2,80389,2,2,4,99,4,1,99,44651,1085,509,1,100,0,0,1,1,2018-01-01 00:00:00-05:00,2019-01-01 00:00:00-05:00
