114-15723,25,9.89,12.81,10.019,12.473
114N04193,62.88,60.995,56.26,55.16,54.81
114N04194,60.595,59.517,49.854,49.073,50.241
114N04195,59.591,57.827,46.531,43.035,46.053
114N04196,58.027,53.349,40.823,31.17,37.125
114N04197,57.808,55.442,34.153,25.73,31.835
114N04198,59.86,55.695,34.127,24.162,30.076
114N04548,60.535,55.672,45.439,43.179,46.535
114N04549,60.596,51.605,36.788,32.656,39.038
114N04551,60.781,54.147,29.737,25.447,35.613
114N04552,59.758,57.495,22.101,12.483,22.116
114N08101,,19,19,17.3925,28.5
114N10168,18.42285714,11.132,12.961,10.726,9.245
114N10562,13.85,13.6825,9.279,9.305,8.544
114P04193,49.961,22.463,12.432,11.951,11.738
114P04194,46.112,28.046,23.298,22.411,21.403
114P04195,50.108,39.47,34.557,32.934,31.759
114P04196,53.79,45.817,41.561,40.187,40.577
114P04197,53.54,47.886,42.673,39.866,40.424
114P04198,59.35,55.061,46.483,44.647,46.086
114P04548,45.748,27.878,23.612,23.755,24.465
114P04549,46.192,31.053,27.055,25.832,26.722
114P04551,36.284,41.997,41.636,40.257,37.48
114P04552,56.03,52.76333333,47.9,44.55,43.00666667
114P10168,12.19125,10.127,10.843,9.277,9.297
114P10562,14,14.4175,9.003,9.223,8.977
114P10991,17.51777778,15.007,12.357,9.625,12.36
,,,,,
