tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_seconds,data_density
114+10219,2018-05-07 00:00:00,14.00,26.00,41.00,81.98,A
114+10219,2018-05-07 06:00:00,13.02,23.00,41.00,88.12,A
114+10219,2018-05-07 07:00:00,10.23,12.00,41.00,112.18,A
114+10219,2018-05-07 09:00:00,18.63,14.00,41.00,61.60,B
114+10219,2018-05-07 11:00:00,16.00,18.00,41.00,71.73,A
114+10219,2018-05-07 12:00:00,12.52,15.00,41.00,91.70,A
114+10219,2018-05-07 13:00:00,6.00,14.00,41.00,191.28,A
114+10219,2018-05-07 14:00:00,14.00,16.00,41.00,81.98,A
114+10219,2018-05-07 15:00:00,14.78,21.00,41.00,77.63,A
114+10219,2018-05-07 16:00:00,32.00,20.00,41.00,35.86,A
114+10219,2018-05-07 17:00:00,22.13,19.00,41.00,51.86,B
114+10219,2018-05-07 18:00:00,18.44,20.00,41.00,62.24,A
114+10219,2018-05-07 21:00:00,67.00,11.00,41.00,17.13,A
114+10219,2018-05-07 23:00:00,34.00,11.00,41.00,33.75,A
114+08099,2018-05-07 02:00:00,27.50,,40.00,7.32,A
114+08099,2018-05-07 04:00:00,21.00,,40.00,9.58,A
114+08099,2018-05-07 05:00:00,16.99,,40.00,11.84,A
114+08099,2018-05-07 06:00:00,12.17,,40.00,16.53,B
114+08099,2018-05-07 07:00:00,18.91,,40.00,10.64,B
114+08099,2018-05-07 08:00:00,11.54,,40.00,17.44,C
114+08099,2018-05-07 09:00:00,14.23,,40.00,14.13,B
114+08099,2018-05-07 10:00:00,17.06,,40.00,11.79,B
114+08099,2018-05-07 11:00:00,18.71,,40.00,10.75,B
114+08099,2018-05-07 12:00:00,17.94,,40.00,11.21,B
114+08099,2018-05-07 13:00:00,20.51,,40.00,9.81,B
114+08099,2018-05-07 14:00:00,17.24,,40.00,11.67,A
114+08099,2018-05-07 15:00:00,18.63,,40.00,10.80,B
114+08099,2018-05-07 16:00:00,12.59,,40.00,15.98,B
114+08099,2018-05-07 17:00:00,16.13,,40.00,12.47,B
114+08099,2018-05-07 18:00:00,14.37,,40.00,14.00,A
114+08099,2018-05-07 19:00:00,14.35,,40.00,14.02,B
114+08099,2018-05-07 20:00:00,18.44,,40.00,10.91,A
114+08099,2018-05-07 21:00:00,27.54,,40.00,7.31,A
114+08099,2018-05-07 22:00:00,21.55,,40.00,9.33,B
114+08098,2018-05-07 07:00:00,17.00,37.00,39.00,17.12,A
114+08098,2018-05-07 08:00:00,11.37,22.00,39.00,25.59,A
114+08098,2018-05-07 09:00:00,17.49,26.00,39.00,16.64,A
114+08098,2018-05-07 10:00:00,20.35,35.00,39.00,14.30,A
114+08098,2018-05-07 11:00:00,14.66,43.00,39.00,19.85,A
114+08098,2018-05-07 13:00:00,16.00,33.00,39.00,18.19,A
114+08098,2018-05-07 18:00:00,25.49,39.00,39.00,11.42,A
114+08098,2018-05-07 20:00:00,19.09,44.00,39.00,15.24,A
114+08098,2018-05-07 22:00:00,26.00,40.00,39.00,11.19,A
114-08546,2018-05-07 01:00:00,11.00,14.00,32.00,135.74,A
114-08546,2018-05-07 05:00:00,10.39,19.00,32.00,143.71,A
114-08546,2018-05-07 07:00:00,19.55,15.00,32.00,76.38,A
114-08546,2018-05-07 08:00:00,13.81,13.00,32.00,108.12,A
114-08546,2018-05-07 09:00:00,8.54,14.00,32.00,174.79,B
114-08546,2018-05-07 10:00:00,9.75,12.00,32.00,153.07,A
114-08546,2018-05-07 11:00:00,10.34,11.00,32.00,144.34,A
114-08546,2018-05-07 12:00:00,21.25,12.00,32.00,70.26,A
114-08546,2018-05-07 13:00:00,15.30,13.00,32.00,97.61,A
114-08546,2018-05-07 14:00:00,13.36,10.00,32.00,111.79,A
114-08546,2018-05-07 15:00:00,13.10,10.00,32.00,113.95,A
114-08546,2018-05-07 16:00:00,7.00,11.00,32.00,213.31,A
114-08546,2018-05-07 17:00:00,6.77,10.00,32.00,220.58,A
114-08546,2018-05-07 18:00:00,7.77,10.00,32.00,192.24,A
114-08546,2018-05-07 19:00:00,6.52,12.00,32.00,229.02,A
114-08546,2018-05-07 20:00:00,15.00,15.00,32.00,99.54,A
114-08546,2018-05-07 21:00:00,12.92,17.00,32.00,115.54,A
114-10503,2018-05-07 04:00:00,11.00,16.00,31.00,214.15,A
114-10503,2018-05-07 06:00:00,19.77,15.00,31.00,119.13,A
114-10503,2018-05-07 07:00:00,16.19,11.00,31.00,145.51,A
114-10503,2018-05-07 08:00:00,12.34,11.00,31.00,190.82,B
114-10503,2018-05-07 09:00:00,10.40,11.00,31.00,226.57,B
114-10503,2018-05-07 10:00:00,6.86,12.00,31.00,343.54,A
114-10503,2018-05-07 11:00:00,13.38,13.00,31.00,176.11,B
114-10503,2018-05-07 12:00:00,8.10,13.00,31.00,290.74,A
114-10503,2018-05-07 13:00:00,10.51,13.00,31.00,224.05,B
114-10503,2018-05-07 14:00:00,14.38,13.00,31.00,163.79,B
114-10503,2018-05-07 15:00:00,14.93,10.00,31.00,157.75,A
114-10503,2018-05-07 16:00:00,10.00,10.00,31.00,235.57,A
114-10503,2018-05-07 17:00:00,22.00,11.00,31.00,107.08,A
114-10503,2018-05-07 19:00:00,17.45,11.00,31.00,134.96,A
114-10503,2018-05-07 20:00:00,23.00,13.00,31.00,102.42,A
114-10503,2018-05-07 21:00:00,14.00,13.00,31.00,168.26,A
114-08025,2018-05-07 03:00:00,36.00,26.00,43.00,42.11,A
114-08025,2018-05-07 04:00:00,17.96,25.00,43.00,84.39,A
114-08025,2018-05-07 05:00:00,26.61,16.00,43.00,56.97,A
114-08025,2018-05-07 06:00:00,18.00,15.00,43.00,84.21,A
114-08025,2018-05-07 07:00:00,10.98,14.00,43.00,137.99,B
114-08025,2018-05-07 08:00:00,16.39,13.00,43.00,92.46,B
114-08025,2018-05-07 09:00:00,15.16,15.00,43.00,99.96,B
114-08025,2018-05-07 10:00:00,14.12,15.00,43.00,107.38,B
114-08025,2018-05-07 11:00:00,15.22,17.00,43.00,99.59,B
114-08025,2018-05-07 12:00:00,17.29,15.00,43.00,87.66,C
114-08025,2018-05-07 13:00:00,12.30,16.00,43.00,123.18,B
114-08025,2018-05-07 14:00:00,30.61,15.00,43.00,49.52,B
114-08025,2018-05-07 15:00:00,13.50,15.00,43.00,112.25,B
114-08025,2018-05-07 16:00:00,18.19,15.00,43.00,83.32,B
114-08025,2018-05-07 17:00:00,16.07,15.00,43.00,94.31,C
114-08025,2018-05-07 18:00:00,22.47,17.00,43.00,67.46,B
114-08025,2018-05-07 19:00:00,19.24,22.00,43.00,78.77,A
114-08025,2018-05-07 20:00:00,11.00,21.00,43.00,137.80,A
114-08025,2018-05-07 21:00:00,22.00,18.00,43.00,68.90,A
114-08025,2018-05-07 22:00:00,17.19,19.00,43.00,88.20,A
114-08025,2018-05-07 23:00:00,45.00,23.00,43.00,33.68,A
114-09880,2018-05-07 03:00:00,27.00,13.00,34.00,116.95,A
114-09880,2018-05-07 04:00:00,11.00,9.00,34.00,287.06,A
114-09880,2018-05-07 05:00:00,16.93,14.00,34.00,186.51,B
114-09880,2018-05-07 06:00:00,22.50,13.00,34.00,140.34,A
114-09880,2018-05-07 07:00:00,11.77,12.00,34.00,268.33,B
114-09880,2018-05-07 08:00:00,9.80,15.00,34.00,322.22,B
114-09880,2018-05-07 09:00:00,15.39,13.00,34.00,205.14,B
114-09880,2018-05-07 10:00:00,10.62,16.00,34.00,297.38,B
114-09880,2018-05-07 11:00:00,12.19,13.00,34.00,258.95,B
114-09880,2018-05-07 12:00:00,13.43,13.00,34.00,235.05,B
114-09880,2018-05-07 13:00:00,13.94,13.00,34.00,226.46,B
114-09880,2018-05-07 14:00:00,10.63,12.00,34.00,296.92,C
114-09880,2018-05-07 15:00:00,10.63,12.00,34.00,297.00,C
114-09880,2018-05-07 16:00:00,8.98,13.00,34.00,351.48,B
114-09880,2018-05-07 17:00:00,11.09,12.00,34.00,284.69,B
114-09880,2018-05-07 18:00:00,14.95,14.00,34.00,211.25,B
114-09880,2018-05-07 19:00:00,18.46,15.00,34.00,171.07,B
114-09880,2018-05-07 20:00:00,9.00,14.00,34.00,350.85,A
114-09880,2018-05-07 22:00:00,17.78,14.00,34.00,177.62,A
114-09881,2018-05-07 00:00:00,11.02,11.00,28.00,261.41,A
114-09881,2018-05-07 04:00:00,11.00,9.00,28.00,261.90,A
114-09881,2018-05-07 05:00:00,19.20,9.00,28.00,150.03,B
114-09881,2018-05-07 06:00:00,7.73,12.00,28.00,372.61,B
114-09881,2018-05-07 07:00:00,10.32,11.00,28.00,279.08,C
114-09881,2018-05-07 08:00:00,7.94,11.00,28.00,362.69,C
114-09881,2018-05-07 09:00:00,8.95,9.00,28.00,321.89,C
114-09881,2018-05-07 10:00:00,9.25,11.00,28.00,311.33,B
114-09881,2018-05-07 11:00:00,11.24,12.00,28.00,256.37,C
114-09881,2018-05-07 12:00:00,10.45,11.00,28.00,275.58,B
114-09881,2018-05-07 13:00:00,10.90,11.00,28.00,264.27,B
114-09881,2018-05-07 14:00:00,8.43,11.00,28.00,341.91,C
114-09881,2018-05-07 15:00:00,9.54,11.00,28.00,302.09,B
114-09881,2018-05-07 16:00:00,13.25,12.00,28.00,217.48,B
114-09881,2018-05-07 17:00:00,6.88,11.00,28.00,418.59,C
114-09881,2018-05-07 18:00:00,13.33,11.00,28.00,216.04,B
114-09881,2018-05-07 19:00:00,15.57,11.00,28.00,184.98,C
114-09881,2018-05-07 20:00:00,6.69,10.00,28.00,430.42,A
114-09881,2018-05-07 21:00:00,17.37,10.00,28.00,165.84,A
114-09881,2018-05-07 22:00:00,8.21,10.00,28.00,350.88,A
114-09881,2018-05-07 23:00:00,20.09,12.00,28.00,143.38,A
114-10991,2018-05-07 00:00:00,25.38,14.00,27.00,61.31,A
114-10991,2018-05-07 02:00:00,12.54,14.00,27.00,124.10,A
114-10991,2018-05-07 04:00:00,22.40,21.00,27.00,69.48,A
114-10991,2018-05-07 05:00:00,24.00,16.00,27.00,64.85,A
114-10991,2018-05-07 06:00:00,14.00,14.00,27.00,111.16,A
114-10991,2018-05-07 07:00:00,10.90,11.00,27.00,142.76,A
114-10991,2018-05-07 08:00:00,5.17,11.00,27.00,300.76,B
114-10991,2018-05-07 09:00:00,7.58,9.00,27.00,205.29,A
114-10991,2018-05-07 10:00:00,7.29,10.00,27.00,213.46,B
114-10991,2018-05-07 11:00:00,12.63,10.00,27.00,123.19,B
114-10991,2018-05-07 12:00:00,9.75,9.00,27.00,159.54,B
114-10991,2018-05-07 13:00:00,8.66,10.00,27.00,179.75,B
114-10991,2018-05-07 14:00:00,9.49,10.00,27.00,163.93,B
114-10991,2018-05-07 15:00:00,11.94,11.00,27.00,130.33,B
114-10991,2018-05-07 16:00:00,13.29,12.00,27.00,117.13,B
114-10991,2018-05-07 17:00:00,13.76,10.00,27.00,113.10,A
114-10991,2018-05-07 18:00:00,9.54,11.00,27.00,163.17,B
114-10991,2018-05-07 19:00:00,16.60,11.00,27.00,93.78,A
114-10991,2018-05-07 20:00:00,12.96,10.00,27.00,120.05,A
114-10991,2018-05-07 21:00:00,9.28,12.00,27.00,167.78,B
114P10991,2018-05-07 01:00:00,25.00,15.00,30.00,13.15,A
114P10991,2018-05-07 02:00:00,15.00,17.00,30.00,21.92,A
114P10991,2018-05-07 03:00:00,24.00,10.00,30.00,13.70,A
114P10991,2018-05-07 04:00:00,13.00,13.00,30.00,25.29,A
114P10991,2018-05-07 05:00:00,29.00,20.00,30.00,11.34,A
114P10991,2018-05-07 06:00:00,22.83,16.00,30.00,14.40,A
114P10991,2018-05-07 07:00:00,8.95,14.00,30.00,36.73,B
114P10991,2018-05-07 08:00:00,8.02,14.00,30.00,41.02,A
114P10991,2018-05-07 09:00:00,6.68,13.00,30.00,49.26,A
114P10991,2018-05-07 10:00:00,19.29,16.00,30.00,17.04,A
114P10991,2018-05-07 11:00:00,12.17,14.00,30.00,27.02,A
114P10991,2018-05-07 12:00:00,7.11,16.00,30.00,46.22,B
114P10991,2018-05-07 13:00:00,26.85,15.00,30.00,12.25,A
114P10991,2018-05-07 14:00:00,13.24,18.00,30.00,24.84,A
114P10991,2018-05-07 15:00:00,13.24,17.00,30.00,24.83,B
114P10991,2018-05-07 16:00:00,10.30,15.00,30.00,31.94,B
114P10991,2018-05-07 17:00:00,10.42,12.00,30.00,31.55,C
114P10991,2018-05-07 18:00:00,15.01,14.00,30.00,21.91,A
114P10991,2018-05-07 19:00:00,9.54,13.00,30.00,34.47,A
114P10991,2018-05-07 20:00:00,12.94,15.00,30.00,25.41,B
114P10991,2018-05-07 21:00:00,16.00,16.00,30.00,20.55,A
114P10991,2018-05-07 22:00:00,29.00,13.00,30.00,11.34,A
114P10991,2018-05-07 23:00:00,20.17,16.00,30.00,16.30,A
114-09920,2018-05-07 01:00:00,16.00,,37.00,143.43,A
114-09920,2018-05-07 03:00:00,29.00,10.00,37.00,79.13,A
114-09920,2018-05-07 04:00:00,18.79,,37.00,122.13,A
114-09920,2018-05-07 05:00:00,16.79,23.00,37.00,136.66,B
114-09920,2018-05-07 06:00:00,22.20,12.00,37.00,103.35,B
114-09920,2018-05-07 07:00:00,15.74,11.00,37.00,145.80,B
114-09920,2018-05-07 08:00:00,11.28,11.00,37.00,203.36,C
114-09920,2018-05-07 09:00:00,11.12,14.00,37.00,206.28,C
114-09920,2018-05-07 10:00:00,11.27,12.00,37.00,203.58,C
114-09920,2018-05-07 11:00:00,11.15,19.00,37.00,205.86,C
114-09920,2018-05-07 12:00:00,12.53,17.00,37.00,183.08,C
114-09920,2018-05-07 13:00:00,14.51,15.00,37.00,158.17,C
114-09920,2018-05-07 14:00:00,13.09,12.00,37.00,175.25,C
114-09920,2018-05-07 15:00:00,16.38,14.00,37.00,140.11,B
114-09920,2018-05-07 16:00:00,15.49,15.00,37.00,148.18,B
114-09920,2018-05-07 17:00:00,7.35,12.00,37.00,312.26,B
114-09920,2018-05-07 18:00:00,11.07,13.00,37.00,207.23,C
114-09920,2018-05-07 19:00:00,10.67,17.00,37.00,215.05,C
114-09920,2018-05-07 20:00:00,10.41,16.00,37.00,220.39,B
114-09920,2018-05-07 21:00:00,15.09,14.00,37.00,152.05,A
114-09920,2018-05-07 22:00:00,17.20,13.00,37.00,133.40,B
114-09920,2018-05-07 23:00:00,36.71,20.00,37.00,62.51,A
114+14383,2018-05-07 06:00:00,25.65,6.00,33.00,58.22,A
114+14383,2018-05-07 07:00:00,16.03,5.00,33.00,93.16,A
114+14383,2018-05-07 08:00:00,11.81,5.00,33.00,126.47,A
114+14383,2018-05-07 09:00:00,10.41,6.00,33.00,143.51,A
114+14383,2018-05-07 10:00:00,9.12,8.00,33.00,163.77,A
114+14383,2018-05-07 11:00:00,13.37,5.00,33.00,111.72,A
114+14383,2018-05-07 12:00:00,24.00,6.00,33.00,62.23,A
114+14383,2018-05-07 13:00:00,9.00,6.00,33.00,165.96,A
114+14383,2018-05-07 14:00:00,7.21,8.00,33.00,207.19,B
114+14383,2018-05-07 15:00:00,16.34,8.00,33.00,91.39,A
114+14383,2018-05-07 16:00:00,13.64,9.00,33.00,109.50,A
114+14383,2018-05-07 17:00:00,13.45,7.00,33.00,111.03,A
114+14383,2018-05-07 18:00:00,14.59,7.00,33.00,102.34,A
114+14383,2018-05-07 19:00:00,24.65,6.00,33.00,60.60,A
114+14383,2018-05-07 20:00:00,18.46,4.00,33.00,80.90,A
114+14383,2018-05-07 21:00:00,21.79,4.00,33.00,68.54,A
114+14383,2018-05-07 22:00:00,25.41,8.00,33.00,58.78,A
114+14383,2018-05-07 23:00:00,37.00,9.00,33.00,40.37,A
114+10460,2018-05-07 06:00:00,9.17,11.00,28.00,152.26,A
114+10460,2018-05-07 07:00:00,5.84,8.00,28.00,238.98,A
114+10460,2018-05-07 08:00:00,4.00,8.00,28.00,349.12,A
114+10460,2018-05-07 09:00:00,5.70,8.00,28.00,245.00,B
114+10460,2018-05-07 10:00:00,6.53,8.00,28.00,213.91,A
114+10460,2018-05-07 11:00:00,11.23,8.00,28.00,124.36,A
114+10460,2018-05-07 12:00:00,7.57,8.00,28.00,184.57,B
114+10460,2018-05-07 13:00:00,9.52,9.00,28.00,146.64,A
114+10460,2018-05-07 14:00:00,10.25,8.00,28.00,136.22,B
114+10460,2018-05-07 15:00:00,3.69,8.00,28.00,378.22,A
114+10460,2018-05-07 16:00:00,7.15,8.00,28.00,195.29,B
114+10460,2018-05-07 17:00:00,6.00,7.00,28.00,232.75,B
114+10460,2018-05-07 18:00:00,8.64,9.00,28.00,161.71,B
114+10460,2018-05-07 19:00:00,6.00,10.00,28.00,232.75,A
114+10460,2018-05-07 20:00:00,12.12,9.00,28.00,115.20,A
114+10460,2018-05-07 21:00:00,7.00,10.00,28.00,199.50,A
114+08026,2018-05-07 00:00:00,9.00,22.00,38.00,168.42,A
114+08026,2018-05-07 01:00:00,13.71,31.00,38.00,110.53,A
114+08026,2018-05-07 04:00:00,20.00,25.00,38.00,75.79,A
114+08026,2018-05-07 05:00:00,17.14,19.00,38.00,88.42,A
114+08026,2018-05-07 06:00:00,10.30,17.00,38.00,147.23,B
114+08026,2018-05-07 07:00:00,4.93,13.00,38.00,307.57,B
114+08026,2018-05-07 08:00:00,3.80,11.00,38.00,399.16,C
114+08026,2018-05-07 09:00:00,6.61,11.00,38.00,229.41,C
114+08026,2018-05-07 10:00:00,15.11,12.00,38.00,100.32,C
114+08026,2018-05-07 11:00:00,11.27,13.00,38.00,134.50,B
114+08026,2018-05-07 12:00:00,15.95,13.00,38.00,95.02,A
114+08026,2018-05-07 13:00:00,16.56,14.00,38.00,91.52,B
114+08026,2018-05-07 14:00:00,18.37,16.00,38.00,82.52,B
114+08026,2018-05-07 15:00:00,10.29,12.00,38.00,147.37,A
114+08026,2018-05-07 16:00:00,11.07,10.00,38.00,136.90,B
114+08026,2018-05-07 17:00:00,8.89,9.00,38.00,170.41,B
114+08026,2018-05-07 19:00:00,31.00,13.00,38.00,48.90,A
114+08026,2018-05-07 20:00:00,26.25,19.00,38.00,57.74,A
114+08026,2018-05-07 21:00:00,18.16,14.00,38.00,83.48,A
114+08026,2018-05-07 22:00:00,12.00,17.00,38.00,126.32,A
114+08026,2018-05-07 23:00:00,25.83,24.00,38.00,58.67,A
114+08542,2018-05-07 00:00:00,11.98,20.00,30.00,149.54,A
114+08542,2018-05-07 02:00:00,17.00,15.00,30.00,105.40,A
114+08542,2018-05-07 04:00:00,33.00,16.00,30.00,54.29,A
114+08542,2018-05-07 05:00:00,17.14,14.00,30.00,104.52,A
114+08542,2018-05-07 06:00:00,9.21,14.00,30.00,194.46,B
114+08542,2018-05-07 07:00:00,8.52,10.00,30.00,210.29,B
114+08542,2018-05-07 08:00:00,8.84,9.00,30.00,202.63,B
114+08542,2018-05-07 09:00:00,9.88,9.00,30.00,181.44,C
114+08542,2018-05-07 10:00:00,9.13,8.00,30.00,196.28,C
114+08542,2018-05-07 11:00:00,9.77,8.00,30.00,183.30,C
114+08542,2018-05-07 12:00:00,8.96,8.00,30.00,200.03,B
114+08542,2018-05-07 13:00:00,8.61,8.00,30.00,208.04,C
114+08542,2018-05-07 14:00:00,8.97,7.00,30.00,199.82,C
114+08542,2018-05-07 15:00:00,7.38,7.00,30.00,242.72,B
114+08542,2018-05-07 16:00:00,8.43,7.00,30.00,212.48,B
114+08542,2018-05-07 17:00:00,8.30,7.00,30.00,215.84,C
114+08542,2018-05-07 18:00:00,6.69,9.00,30.00,267.88,B
114+08542,2018-05-07 19:00:00,11.50,10.00,30.00,155.74,B
114+08542,2018-05-07 20:00:00,9.48,9.00,30.00,188.92,B
114+08542,2018-05-07 21:00:00,7.58,10.00,30.00,236.41,A
114+08542,2018-05-07 22:00:00,9.21,12.00,30.00,194.60,A
114+08542,2018-05-07 23:00:00,11.72,12.00,30.00,152.87,A
114+08028,2018-05-07 00:00:00,30.00,24.00,35.00,6.98,A
114+08028,2018-05-07 01:00:00,28.00,29.00,35.00,7.48,A
114+08028,2018-05-07 05:00:00,21.00,16.00,35.00,9.97,A
114+08028,2018-05-07 06:00:00,14.71,15.00,35.00,14.23,B
114+08028,2018-05-07 07:00:00,11.95,11.00,35.00,17.51,B
114+08028,2018-05-07 08:00:00,8.03,8.00,35.00,26.05,C
114+08028,2018-05-07 09:00:00,6.27,8.00,35.00,33.41,C
114+08028,2018-05-07 10:00:00,11.39,13.00,35.00,18.39,B
114+08028,2018-05-07 11:00:00,12.50,13.00,35.00,16.74,B
114+08028,2018-05-07 12:00:00,9.95,12.00,35.00,21.04,A
114+08028,2018-05-07 13:00:00,16.66,15.00,35.00,12.57,B
114+08028,2018-05-07 14:00:00,19.79,16.00,35.00,10.58,B
114+08028,2018-05-07 15:00:00,23.49,14.00,35.00,8.91,A
114+08028,2018-05-07 16:00:00,24.61,11.00,35.00,8.51,B
114+08028,2018-05-07 17:00:00,12.55,10.00,35.00,16.68,B
114+08028,2018-05-07 18:00:00,15.01,15.00,35.00,13.94,B
114+08028,2018-05-07 19:00:00,11.45,20.00,35.00,18.29,A
114+08028,2018-05-07 20:00:00,28.00,18.00,35.00,7.48,A
114+08028,2018-05-07 21:00:00,14.73,22.00,35.00,14.21,A
114+08028,2018-05-07 22:00:00,11.03,21.00,35.00,18.98,A
114+08027,2018-05-07 00:00:00,13.37,17.00,32.00,139.28,A
114+08027,2018-05-07 01:00:00,42.00,18.00,32.00,44.34,A
114+08027,2018-05-07 04:00:00,20.00,17.00,32.00,93.12,A
114+08027,2018-05-07 05:00:00,18.90,15.00,32.00,98.54,A
114+08027,2018-05-07 06:00:00,14.55,14.00,32.00,127.98,B
114+08027,2018-05-07 07:00:00,9.45,13.00,32.00,196.98,C
114+08027,2018-05-07 08:00:00,6.18,9.00,32.00,301.23,C
114+08027,2018-05-07 09:00:00,6.74,9.00,32.00,276.28,C
114+08027,2018-05-07 10:00:00,15.20,12.00,32.00,122.55,C
114+08027,2018-05-07 11:00:00,9.64,13.00,32.00,193.24,C
114+08027,2018-05-07 12:00:00,14.97,13.00,32.00,124.37,B
114+08027,2018-05-07 13:00:00,13.98,13.00,32.00,133.25,B
114+08027,2018-05-07 14:00:00,14.74,13.00,32.00,126.32,B
114+08027,2018-05-07 15:00:00,13.66,13.00,32.00,136.35,B
114+08027,2018-05-07 16:00:00,17.83,12.00,32.00,104.45,B
114+08027,2018-05-07 17:00:00,11.55,10.00,32.00,161.26,C
114+08027,2018-05-07 18:00:00,13.33,12.00,32.00,139.75,B
114+08027,2018-05-07 19:00:00,18.34,15.00,32.00,101.53,A
114+08027,2018-05-07 20:00:00,8.48,17.00,32.00,219.58,A
114+08027,2018-05-07 21:00:00,18.00,16.00,32.00,103.47,A
114+08027,2018-05-07 22:00:00,19.29,14.00,32.00,96.55,A
114+08027,2018-05-07 23:00:00,21.00,16.00,32.00,88.69,A
114-08018,2018-05-07 04:00:00,25.00,22.00,25.00,8.33,A
114-08018,2018-05-07 06:00:00,12.03,29.00,25.00,17.31,A
114-08018,2018-05-07 07:00:00,14.44,24.00,25.00,14.43,B
114-08018,2018-05-07 08:00:00,10.02,21.00,25.00,20.80,B
114-08018,2018-05-07 09:00:00,22.77,17.00,25.00,9.15,A
114-08018,2018-05-07 10:00:00,11.50,20.00,25.00,18.11,A
114-08018,2018-05-07 11:00:00,12.00,14.00,25.00,17.36,A
114-08018,2018-05-07 12:00:00,7.41,15.00,25.00,28.10,A
114-08018,2018-05-07 13:00:00,10.03,20.00,25.00,20.78,A
114-08018,2018-05-07 14:00:00,7.38,19.00,25.00,28.23,A
114-08018,2018-05-07 15:00:00,7.15,14.00,25.00,29.11,A
114-08018,2018-05-07 16:00:00,12.39,17.00,25.00,16.81,B
114-08018,2018-05-07 17:00:00,8.02,16.00,25.00,25.97,A
114-08018,2018-05-07 18:00:00,14.78,16.00,25.00,14.10,B
114-08018,2018-05-07 19:00:00,24.00,14.00,25.00,8.68,A
114-08018,2018-05-07 21:00:00,14.00,24.00,25.00,14.88,A
114-08018,2018-05-07 22:00:00,16.00,16.00,25.00,13.02,A
114-08018,2018-05-07 23:00:00,25.00,,25.00,8.33,A
114-08017,2018-05-07 00:00:00,6.55,10.00,25.00,479.46,A
114-08017,2018-05-07 04:00:00,23.67,30.00,25.00,132.57,A
114-08017,2018-05-07 05:00:00,6.00,22.00,25.00,523.05,A
114-08017,2018-05-07 06:00:00,14.40,17.00,25.00,217.95,B
114-08017,2018-05-07 07:00:00,11.93,17.00,25.00,262.96,C
114-08017,2018-05-07 08:00:00,11.25,15.00,25.00,278.94,C
114-08017,2018-05-07 09:00:00,13.12,14.00,25.00,239.18,B
114-08017,2018-05-07 10:00:00,13.81,14.00,25.00,227.28,B
114-08017,2018-05-07 11:00:00,17.53,14.00,25.00,179.03,B
114-08017,2018-05-07 12:00:00,7.30,12.00,25.00,429.86,B
114-08017,2018-05-07 13:00:00,8.76,12.00,25.00,358.16,B
114-08017,2018-05-07 14:00:00,7.13,13.00,25.00,440.26,B
114-08017,2018-05-07 15:00:00,5.91,12.00,25.00,531.32,C
114-08017,2018-05-07 16:00:00,11.82,11.00,25.00,265.56,B
114-08017,2018-05-07 17:00:00,9.24,10.00,25.00,339.54,C
114-08017,2018-05-07 18:00:00,11.75,13.00,25.00,267.20,C
114-08017,2018-05-07 19:00:00,12.18,14.00,25.00,257.74,C
114-08017,2018-05-07 20:00:00,17.71,15.00,25.00,177.18,B
114-08017,2018-05-07 21:00:00,16.15,12.00,25.00,194.29,B
114-08017,2018-05-07 22:00:00,14.43,16.00,25.00,217.46,A
114-08017,2018-05-07 23:00:00,6.90,17.00,25.00,455.05,A
114-08015,2018-05-07 04:00:00,10.00,17.00,29.00,172.99,A
114-08015,2018-05-07 05:00:00,15.27,23.00,29.00,113.27,A
114-08015,2018-05-07 06:00:00,6.75,19.00,29.00,256.28,A
114-08015,2018-05-07 07:00:00,10.60,19.00,29.00,163.14,B
114-08015,2018-05-07 08:00:00,9.62,18.00,29.00,179.75,B
114-08015,2018-05-07 09:00:00,8.85,16.00,29.00,195.53,B
114-08015,2018-05-07 10:00:00,12.80,16.00,29.00,135.12,B
114-08015,2018-05-07 11:00:00,13.15,17.00,29.00,131.59,B
114-08015,2018-05-07 12:00:00,9.48,15.00,29.00,182.48,B
114-08015,2018-05-07 13:00:00,8.94,15.00,29.00,193.59,B
114-08015,2018-05-07 14:00:00,11.96,15.00,29.00,144.63,A
114-08015,2018-05-07 15:00:00,8.67,12.00,29.00,199.60,B
114-08015,2018-05-07 16:00:00,7.99,10.00,29.00,216.40,B
114-08015,2018-05-07 17:00:00,9.63,10.00,29.00,179.56,B
114-08015,2018-05-07 18:00:00,12.09,15.00,29.00,143.07,B
114-08015,2018-05-07 19:00:00,6.98,16.00,29.00,248.01,B
114-08015,2018-05-07 20:00:00,5.83,20.00,29.00,296.77,A
114-08015,2018-05-07 21:00:00,16.84,14.00,29.00,102.73,A
114-08015,2018-05-07 22:00:00,4.92,16.00,29.00,351.66,A
114+08029,2018-05-07 00:00:00,7.76,14.00,29.00,421.29,A
114+08029,2018-05-07 01:00:00,12.31,15.00,29.00,265.79,A
114+08029,2018-05-07 02:00:00,15.00,11.00,29.00,218.08,A
114+08029,2018-05-07 03:00:00,6.00,11.00,29.00,545.20,A
114+08029,2018-05-07 04:00:00,12.46,15.00,29.00,262.54,A
114+08029,2018-05-07 05:00:00,16.28,16.00,29.00,200.98,A
114+08029,2018-05-07 06:00:00,14.39,15.00,29.00,227.33,B
114+08029,2018-05-07 07:00:00,11.83,13.00,29.00,276.56,C
114+08029,2018-05-07 08:00:00,11.05,12.00,29.00,296.16,C
114+08029,2018-05-07 09:00:00,9.37,11.00,29.00,348.96,C
