Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
19	09:37:17	09:37:17	09:37:17	09:37:17	09:37:17	09:37:17			09:37:17	09:37:17	09:37:20	09:37:20	09:37:20	09:37:20	09:37:20	09:37:20			09:37:21	09:37:21		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:01	00:00:04
20	09:37:21	09:37:21	09:37:21	09:37:21	09:37:22	09:37:22	09:37:22	09:37:22	09:37:22	09:37:22	09:37:25	09:37:25	09:37:25	09:37:25	09:37:25	09:37:25	09:37:25	09:37:26	09:37:28	09:37:28		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:02	00:00:06
21	09:37:28	09:37:28	09:37:28	09:37:28	09:37:28	09:37:28			09:37:28	09:37:28	09:37:31	09:37:31	09:37:31	09:37:31	09:37:31	09:37:31			09:37:32	09:37:32		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
22	09:37:32	09:37:32	09:37:32	09:37:32	09:37:32	09:37:32			09:37:32	09:37:32	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35	09:37:35			09:37:36	09:37:36		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
23	09:37:36	09:37:36	09:37:36	09:37:36	09:37:36	09:37:36			09:37:36	09:37:36	09:37:38	09:37:38	09:37:38	09:37:38	09:37:38	09:37:38			09:37:39	09:37:39		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
24	09:37:39	09:37:39	09:37:39	09:37:39	09:37:39	09:37:39			09:37:39	09:37:39	09:37:42	09:37:42	09:37:42	09:37:42	09:37:42	09:37:42			09:37:43	09:37:43		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
25	09:37:43	09:37:43	09:37:43	09:37:43	09:37:43	09:37:43			09:37:43	09:37:43	09:37:45	09:37:45	09:37:45	09:37:45	09:37:45	09:37:45			09:37:46	09:37:46		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
26	09:37:46	09:37:46	09:37:46	09:37:46	09:37:46	09:37:46			09:37:46	09:37:46	09:37:50	09:37:50	09:37:50	09:37:50	09:37:50	09:37:50			09:37:51	09:37:51		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
27	09:37:51	09:37:51	09:37:51	09:37:51	09:37:51	09:37:51			09:37:51	09:37:51	09:37:53	09:37:53	09:37:53	09:37:53	09:37:53	09:37:53			09:37:54	09:37:54		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
28	09:37:54	09:37:54	09:37:54	09:37:54	09:37:54	09:37:54			09:37:54	09:37:54	09:37:57	09:37:57	09:37:57	09:37:57	09:37:57	09:37:57			09:37:58	09:37:58		00:00:00	00:00:00		00:00:00	00:00:03	00:00:00	00:00:00		00:00:01	00:00:04
29	09:37:59	09:37:59	09:37:59	09:37:59	09:37:59	09:37:59			09:37:59	09:37:59	09:38:01	09:38:01	09:38:01	09:38:01	09:38:01	09:38:01			09:38:02	09:38:02		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
30	09:38:02	09:38:02	09:38:02	09:38:02	09:38:02	09:38:02	09:38:02	09:38:02	09:38:02	09:38:02	09:38:05	09:38:05	09:38:05	09:38:05	09:38:05	09:38:05	09:38:05	09:38:05	09:38:08	09:38:08		00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:02	00:00:06
31	09:38:08	09:38:08	09:38:08	09:38:08	09:38:08	09:38:08			09:38:08	09:38:08	09:38:11	09:38:11	09:38:11	09:38:11	09:38:11	09:38:11			09:38:12	09:38:12		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
32	09:38:12	09:38:12	09:38:12	09:38:12	09:38:12	09:38:12			09:38:12	09:38:12	09:38:15	09:38:15	09:38:15	09:38:15	09:38:15	09:38:15			09:38:16	09:38:16		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
33	09:38:16	09:38:16	09:38:16	09:38:16	09:38:16	09:38:16			09:38:16	09:38:16	09:38:19	09:38:19	09:38:19	09:38:19	09:38:19	09:38:19			09:38:19	09:38:19		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
34	09:38:20	09:38:20	09:38:20	09:38:20	09:38:20	09:38:20			09:38:20	09:38:20	09:38:22	09:38:22	09:38:22	09:38:22	09:38:22	09:38:22			09:38:23	09:38:23		00:00:00	00:00:00		00:00:00	00:00:02	00:00:00	00:00:00		00:00:00	00:00:03
