ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-382.7295945744465	-382.7295945744465	-382.7295945744465	-382.7295945744465
1	-320.8154592568607	-382.7295945744465	-351.77252691565354	-320.8154592568607
2	-296.1121545336323	-382.7295945744465	-337.03918103350236	-296.1071851592072
3	-241.377775857384	-382.7295945744465	-308.21769440693225	-241.377775857384
4	-206.63845798732797	-382.7295945744465	-288.20222692888444	-206.63746758831684
5	-182.11793823710417	-382.7295945744465	-275.9424622532781	-182.11793823710417
6	-164.67912880426957	-382.7295945744465	-266.62856160599506	-164.67813840525844
7	-155.96881120433545	-382.7295945744465	-259.6247194952992	-155.96881120433545
8	-108.32818015127356	-382.7295945744465	-233.74741996127864	-108.32763043175075
9	-92.42786254251783	-382.7295945744465	-221.48319571088138	-92.42292599617424
10	-83.73691622751993	-382.7295945744465	-212.43551635471283	-83.73211961126688
11	-66.26376114970627	-382.7295945744465	-201.44881142998037	-66.26362041800753
12	-57.548861184301224	-382.7295945744465	-189.48004123773467	-57.54643815833667
13	-50.36400373222996	-382.7295945744465	-178.40477851916404	-50.360121478729454
14	-43.22840212546963	-382.7295945744465	-170.4769911787427	-43.2271892915176
15	-28.809884481519838	-382.7295945744465	-161.8136038484847	-28.809767196460147
16	1.4810266427340273	-382.7295945744465	-144.75346589706373	1.4872150411497052
17	8.740173818446763	-382.7295945744465	-137.32950262333236	8.741174142642809
18	15.94190916582717	-382.7295945744465	-129.16391464293062	15.946141566110272
19	30.204399949055077	-382.7295945744465	-118.78862374496305	30.206692801822253
20	46.08426720132301	-382.7295945744465	-103.73510355637072	46.08821102230379
21	46.08844788294061	-382.7295945744465	-101.26784518822438	46.08844788294061
22	54.76792398215809	-382.7295945744465	-93.49288919893421	54.77019237079624
23	63.463614219141476	-382.7295945744465	-85.41450045515386	63.463614219141476
24	70.68723119844886	-382.7295945744465	-79.74089889763732	70.68762407637873
25	79.40960701339401	-382.7295945744465	-71.03629261892618	79.41609661938608
26	79.41601039150693	-382.7295945744465	-69.34902854380648	79.41609661938608
27	79.41471645733264	-382.7295945744465	-67.3736427149352	79.41609661938608
28	79.41484173363634	-382.7295945744465	-63.19705047447255	79.41609661938608
29	86.6617946339399	-382.7295945744465	-59.08765155375714	86.66241478271868
30	86.6623645784118	-382.7295945744465	-57.16249175955573	86.66291620793584
