ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-398.72933033416814	-398.72933033416814	-398.72933033416814	-398.72933033416814
1	-277.6800675355707	-398.72933033416814	-338.20469893486944	-277.6800675355707
2	-243.00374583926427	-398.72933033416814	-317.9780568118768	-243.00355881834054
3	-225.6857391167273	-398.72933033416814	-306.42320754631675	-225.6857391167273
4	-191.12362196003596	-398.72933033416814	-286.2634340858182	-191.12310178569416
5	-156.57778693715417	-398.72933033416814	-268.9907766615482	-156.57778693715417
6	-139.4057972994296	-398.72933033416814	-260.4047818426859	-139.4057972994296
7	-122.13655933695843	-398.72933033416814	-248.8996099844199	-122.13071637751715
8	-87.7353147946575	-398.72933033416814	-228.83892661119302	-87.72940894159993
9	-87.73038044464141	-398.72933033416814	-221.64485737105335	-87.72940894159993
10	-87.72889649097485	-398.72933033416814	-218.76550640052625	-87.72889649097485
11	-87.73480234403242	-398.72933033416814	-215.01071541064496	-87.72889649097485
12	-87.72951102956094	-398.72933033416814	-207.78637886212334	-87.72889649097485
13	-87.7293384042383	-398.72933033416814	-200.5935050995171	-87.72880754806336
14	-70.52700117934329	-398.72933033416814	-187.6725925015303	-70.52700117934329
15	-35.861684120757296	-398.72933033416814	-168.89196426486055	-35.861684120757296
16	-18.63748911268528	-398.72933033416814	-157.39191729451875	-18.6367941582079
17	-1.289969182908474	-398.72933033416814	-145.8602561865903	-1.286889169842086
18	16.032839146194185	-398.72933033416814	-137.20039202857217	16.032839146194185
19	33.25042332008754	-398.72933033416814	-125.7242751389874	33.25256576719612
20	33.24926551465311	-398.72933033416814	-118.53571582053215	33.25256576719612
21	33.25256576719612	-398.72933033416814	-118.53571582053215	33.25256576719612
22	50.49567477883079	-398.72933033416814	-105.31705969856382	50.49849679184796
23	67.82535657469096	-398.72933033416814	-93.78247925124938	67.82752102023781
24	67.82836746466833	-398.72933033416814	-92.91847904867389	67.82836746466833
25	67.82646121498873	-398.72933033416814	-83.97607320881907	67.82836746466833
26	67.8265590989527	-398.72933033416814	-81.10006583313127	67.82872354449955
27	67.82872354449955	-398.72933033416814	-80.23094261734515	67.82872354449955
28	67.82725835907647	-398.72933033416814	-75.8990955457201	67.82872354449955
29	85.1956315396021	-398.72933033416814	-67.21564154816882	85.1956315396021
30	85.18972568654453	-398.72933033416814	-63.75721109287772	85.1956315396021
31	85.1956315396021	-398.72933033416814	-63.75721109287772	85.1956315396021
