Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
19	12:22:02	12:22:02	12:22:02	12:22:02	12:22:02	12:22:02			12:22:02	12:22:02	12:22:03	12:22:03	12:22:03	12:22:03	12:22:03	12:22:03			12:22:04	12:22:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
20	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:04	12:22:05	12:22:05	12:22:05	12:22:05	12:22:05	12:22:05	12:22:05	12:22:05	12:22:07	12:22:07		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02	00:00:03
21	12:22:07	12:22:07	12:22:07	12:22:07	12:22:07	12:22:07			12:22:07	12:22:07	12:22:08	12:22:08	12:22:08	12:22:08	12:22:08	12:22:08			12:22:08	12:22:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
22	12:22:08	12:22:08	12:22:08	12:22:08	12:22:09	12:22:09			12:22:09	12:22:09	12:22:09	12:22:09	12:22:09	12:22:09	12:22:09	12:22:09			12:22:10	12:22:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
23	12:22:10	12:22:10	12:22:10	12:22:10	12:22:10	12:22:10			12:22:10	12:22:10	12:22:11	12:22:11	12:22:11	12:22:11	12:22:11	12:22:11			12:22:11	12:22:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
24	12:22:12	12:22:12	12:22:12	12:22:12	12:22:12	12:22:12			12:22:12	12:22:12	12:22:12	12:22:12	12:22:12	12:22:12	12:22:12	12:22:12			12:22:13	12:22:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
25	12:22:13	12:22:13	12:22:13	12:22:13	12:22:13	12:22:13			12:22:13	12:22:13	12:22:14	12:22:14	12:22:14	12:22:14	12:22:14	12:22:14			12:22:14	12:22:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
26	12:22:15	12:22:15	12:22:15	12:22:15	12:22:15	12:22:15			12:22:15	12:22:15	12:22:15	12:22:15	12:22:15	12:22:15	12:22:15	12:22:15			12:22:16	12:22:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
27	12:22:16	12:22:16	12:22:16	12:22:16	12:22:16	12:22:16			12:22:16	12:22:16	12:22:17	12:22:17	12:22:17	12:22:17	12:22:17	12:22:17			12:22:18	12:22:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
28	12:22:18	12:22:18	12:22:18	12:22:18	12:22:18	12:22:18			12:22:18	12:22:18	12:22:19	12:22:19	12:22:19	12:22:19	12:22:19	12:22:19			12:22:19	12:22:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
