ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	0.0	
1	2332.5032885659953	
2	2680.6961208876337	
3	3011.220005645561	
4	3634.826773747477	
5	4493.2063328590775	
6	5228.0495960123435	
7	5625.77068661235	
8	6832.612998518967	
9	6901.911983616719	
10	6897.902067842756	
11	6834.173279069994	
12	6898.907105397576	
13	6896.803489678061	
14	7351.74263705799	
15	7716.564208185271	
16	8198.736842822784	
17	8279.155114397854	
18	8512.740596164182	
19	9070.723805853144	
20	8999.263495944057	
21	9040.622369507784	
22	9454.388517892632	
23	9630.979045727925	
24	9643.338851721175	
25	9646.054310633523	
26	9633.71076532025	
27	9643.076178777997	
28	9619.04906360551	
29	9743.79750169016	
30	9680.41285677394	
31	9743.79750169016	
32	9721.95711499371	
33	10294.012153824959	
34	10316.243708486696	
35	10285.921640180268	
36	10308.842895840029	
37	10317.885734681146	
38	10323.890419606358	
39	10252.318536016013	
40	10320.145468887944	
41	10317.178305913372	
42	10283.767832383	
43	10314.969183434192	
44	10316.557153487951	
45	10287.765987373286	
46	10297.358437994679	
47	10316.50063736375	
48	10300.853095574	
49	10321.780195110774	
50	10319.159115179567	
